article_id,campaign_name,id_promocion
JD8030,WC LGE,1
JD8032,WC TRN,1
JD8034,WC MINI,1
JD8045,WC LGE BOX,1
JL6990,FCF H SO SELURE,1
JL6993,FCF A SO,1
KD8511,FCF WAISTBAG,1
KD8512,FCF DAD CAP,1
KD8513,FCF BUCKET,1
KD8515,FCF BB CAP,1
KD8516,FCF BB CAP,1
KD8519,FCF DAD CAP,1
